,Made Donation in March 2007
659,0.00E+00
276,0.00E+00
263,0.00E+00
303,0.00E+00
83,0.00E+00
500,0.00E+00
530,0.00E+00
244,0.00E+00
249,0.00E+00
728,0.00E+00
129,0.00E+00
534,0.00E+00
317,0.00E+00
401,0.00E+00
696,0.00E+00
192,0.00E+00
176,0.00E+00
571,0.00E+00
139,0.00E+00
423,1.00E+00
563,1.00E+00
56,0.00E+00
528,1.00E+00
101,1.00E+00
467,0.00E+00
382,0.00E+00
466,0.00E+00
294,0.00E+00
512,0.00E+00
659,0.00E+00
389,0.00E+00
487,0.00E+00
701,0.00E+00
419,0.00E+00
536,0.00E+00
240,0.00E+00
508,0.00E+00
515,0.00E+00
283,0.00E+00
650,0.00E+00
65,0.00E+00
228,0.00E+00
741,1.00E+00
297,0.00E+00
464,0.00E+00
63,1.00E+00
231,0.00E+00
28,0.00E+00
248,0.00E+00
357,0.00E+00
300,0.00E+00
726,0.00E+00
680,0.00E+00
520,0.00E+00
254,1.00E+00
582,0.00E+00
143,0.00E+00
98,0.00E+00
1,0.00E+00
221,0.00E+00
352,0.00E+00
64,0.00E+00
138,0.00E+00
745,0.00E+00
64,0.00E+00
688,0.00E+00
623,0.00E+00
289,0.00E+00
174,0.00E+00
690,0.00E+00
105,0.00E+00
427,1.00E+00
48,0.00E+00
14,0.00E+00
657,0.00E+00
301,0.00E+00
455,1.00E+00
579,0.00E+00
722,0.00E+00
98,0.00E+00
491,0.00E+00
303,0.00E+00
466,0.00E+00
65,0.00E+00
300,0.00E+00
9,0.00E+00
622,0.00E+00
323,0.00E+00
289,0.00E+00
568,1.00E+00
290,0.00E+00
156,0.00E+00
464,0.00E+00
426,0.00E+00
306,0.00E+00
4,0.00E+00
12,0.00E+00
187,0.00E+00
406,0.00E+00
96,1.00E+00
509,0.00E+00
733,1.00E+00
548,0.00E+00
478,1.00E+00
501,0.00E+00
127,0.00E+00
199,0.00E+00
299,0.00E+00
162,0.00E+00
235,0.00E+00
23,0.00E+00
473,0.00E+00
487,0.00E+00
683,1.00E+00
303,0.00E+00
309,0.00E+00
569,0.00E+00
34,0.00E+00
686,0.00E+00
84,0.00E+00
733,1.00E+00
537,1.00E+00
181,0.00E+00
453,0.00E+00
67,0.00E+00
161,0.00E+00
307,0.00E+00
703,0.00E+00
181,0.00E+00
246,1.00E+00
316,0.00E+00
278,0.00E+00
346,1.00E+00
545,0.00E+00
419,0.00E+00
694,0.00E+00
622,0.00E+00
663,0.00E+00
262,0.00E+00
461,0.00E+00
373,0.00E+00
233,0.00E+00
466,0.00E+00
207,0.00E+00
263,0.00E+00
16,0.00E+00
513,0.00E+00
449,0.00E+00
429,1.00E+00
701,0.00E+00
632,0.00E+00
529,1.00E+00
245,0.00E+00
344,0.00E+00
353,1.00E+00
241,0.00E+00
633,0.00E+00
624,0.00E+00
726,0.00E+00
189,0.00E+00
138,0.00E+00
402,0.00E+00
511,1.00E+00
590,1.00E+00
334,0.00E+00
447,1.00E+00
119,0.00E+00
389,0.00E+00
644,0.00E+00
423,1.00E+00
131,0.00E+00
405,0.00E+00
82,1.00E+00
643,0.00E+00
156,0.00E+00
617,0.00E+00
574,0.00E+00
272,0.00E+00
613,0.00E+00
545,0.00E+00
685,0.00E+00
570,1.00E+00
537,1.00E+00
691,0.00E+00
85,0.00E+00
483,0.00E+00
455,1.00E+00
93,0.00E+00
744,0.00E+00
33,0.00E+00
321,0.00E+00
523,0.00E+00
426,0.00E+00
196,0.00E+00
301,0.00E+00
103,0.00E+00
224,1.00E+00
454,0.00E+00
585,0.00E+00
154,0.00E+00